Wavelength (nm)	Tan(Psi)	Cos(Del)
589.3	0.6804	-0.3449
590.5	0.6810	-0.3462
591.7	0.6818	-0.3480
592.9	0.6822	-0.3496
594.0	0.6818	-0.3514
595.2	0.6818	-0.3535
596.4	0.6822	-0.3548
597.6	0.6826	-0.3567
598.7	0.6825	-0.3583
599.9	0.6826	-0.3596
601.1	0.6832	-0.3617
602.3	0.6832	-0.3629
603.4	0.6837	-0.3643
604.6	0.6838	-0.3661
605.8	0.6844	-0.3672
606.9	0.6849	-0.3685
608.1	0.6853	-0.3705
609.3	0.6856	-0.3725
610.5	0.6865	-0.3739
611.6	0.6877	-0.3755
612.8	0.6887	-0.3769
614.0	0.6893	-0.3786
615.2	0.6896	-0.3802
616.3	0.6897	-0.3813
617.5	0.6899	-0.3828
618.7	0.6899	-0.3841
619.9	0.6897	-0.3858
621.0	0.6897	-0.3874
622.2	0.6894	-0.3893
623.4	0.6891	-0.3908
624.6	0.6896	-0.3920
625.7	0.6903	-0.3926
626.9	0.6911	-0.3940
628.1	0.6917	-0.3947
629.3	0.6919	-0.3965
630.4	0.6926	-0.3980
631.6	0.6933	-0.3994
632.8	0.6940	-0.4007
634.0	0.6947	-0.4017
635.1	0.6947	-0.4029
636.3	0.6951	-0.4038
637.5	0.6953	-0.4052
638.6	0.6949	-0.4066
639.8	0.6948	-0.4083
641.0	0.6946	-0.4094
642.2	0.6943	-0.4107
643.3	0.6948	-0.4118
644.5	0.6947	-0.4130
645.7	0.6952	-0.4146
646.9	0.6955	-0.4156
648.0	0.6953	-0.4170
649.2	0.6951	-0.4182
650.4	0.6947	-0.4203
651.6	0.6947	-0.4210
652.7	0.6947	-0.4224
653.9	0.6947	-0.4222
655.1	0.6947	-0.4225
656.3	0.6950	-0.4233
657.4	0.6957	-0.4243
658.6	0.6970	-0.4260
659.8	0.6974	-0.4272
661.0	0.6977	-0.4288
662.1	0.6982	-0.4310
663.3	0.6989	-0.4327
664.5	0.7005	-0.4343
665.7	0.7011	-0.4356
666.8	0.7011	-0.4369
668.0	0.7004	-0.4380
669.2	0.6995	-0.4383
670.4	0.6991	-0.4395
671.5	0.6994	-0.4412
672.7	0.6995	-0.4431
673.9	0.6998	-0.4446
675.0	0.6996	-0.4452
676.2	0.6982	-0.4469
677.4	0.6967	-0.4485
678.6	0.6957	-0.4496
679.7	0.6949	-0.4504
680.9	0.6953	-0.4509
682.1	0.6964	-0.4520
683.3	0.6968	-0.4537
684.4	0.6974	-0.4553
685.6	0.6981	-0.4566
686.8	0.6991	-0.4578
688.0	0.6999	-0.4592
689.1	0.7001	-0.4602
690.3	0.7000	-0.4617
691.5	0.6987	-0.4630
692.7	0.6973	-0.4642
693.8	0.6967	-0.4648
695.0	0.6965	-0.4658
696.2	0.6971	-0.4672
697.4	0.6968	-0.4676
698.5	0.6957	-0.4688
699.7	0.6946	-0.4694
700.9	0.6936	-0.4701
702.1	0.6935	-0.4715
703.2	0.6931	-0.4729
704.4	0.6929	-0.4740
705.6	0.6921	-0.4759
706.8	0.6924	-0.4765
707.9	0.6922	-0.4771
709.1	0.6937	-0.4779
710.3	0.6942	-0.4792
711.4	0.6944	-0.4802
712.6	0.6936	-0.4809
713.8	0.6927	-0.4812
715.0	0.6921	-0.4816
716.1	0.6916	-0.4829
717.3	0.6916	-0.4842
718.5	0.6910	-0.4848
719.7	0.6905	-0.4854
720.8	0.6900	-0.4862
722.0	0.6897	-0.4869
723.2	0.6899	-0.4881
724.4	0.6898	-0.4895
725.5	0.6904	-0.4905
726.7	0.6913	-0.4915
727.9	0.6921	-0.4919
729.1	0.6922	-0.4924
730.2	0.6925	-0.4925
731.4	0.6926	-0.4930
732.6	0.6931	-0.4943
733.8	0.6936	-0.4956
734.9	0.6931	-0.4963
736.1	0.6920	-0.4965
737.3	0.6906	-0.4976
738.5	0.6899	-0.4985
739.6	0.6903	-0.4997
740.8	0.6907	-0.5000
742.0	0.6898	-0.5004
743.2	0.6893	-0.5009
744.3	0.6889	-0.5018
745.5	0.6896	-0.5029
746.7	0.6895	-0.5040
747.8	0.6890	-0.5047
749.0	0.6888	-0.5055
750.2	0.6893	-0.5060
751.4	0.6906	-0.5075
752.5	0.6914	-0.5085
753.7	0.6929	-0.5090
754.9	0.6940	-0.5095
756.1	0.6949	-0.5098
757.2	0.6955	-0.5107
758.4	0.6955	-0.5116
759.6	0.6949	-0.5128
760.8	0.6951	-0.5149
761.9	0.6945	-0.5162
763.1	0.6965	-0.5169
764.3	0.6963	-0.5177
765.5	0.6960	-0.5183
766.6	0.6950	-0.5191
767.8	0.6956	-0.5201
769.0	0.6951	-0.5212
770.2	0.6953	-0.5221
771.3	0.6951	-0.5244
772.5	0.6959	-0.5256
773.7	0.6971	-0.5285
774.9	0.6983	-0.5295
776.0	0.6983	-0.5294
777.2	0.6983	-0.5292
778.4	0.6985	-0.5294
779.5	0.6979	-0.5302
780.7	0.6985	-0.5308
781.9	0.6995	-0.5318
783.1	0.7008	-0.5325
784.2	0.7023	-0.5324
785.4	0.7026	-0.5334
786.6	0.7039	-0.5336
787.8	0.7058	-0.5348
788.9	0.7073	-0.5351
790.1	0.7075	-0.5354
791.3	0.7088	-0.5357
792.5	0.7100	-0.5362
793.6	0.7101	-0.5373
794.8	0.7102	-0.5369
796.0	0.7087	-0.5388
797.2	0.7072	-0.5385
798.3	0.7050	-0.5418
799.5	0.7039	-0.5435
800.7	0.7059	-0.5396
801.9	0.7073	-0.5384
803.0	0.7088	-0.5376
804.2	0.7069	-0.5402
805.4	0.7026	-0.5457
806.6	0.7017	-0.5453
807.7	0.7030	-0.5442
808.9	0.7040	-0.5452
810.1	0.7046	-0.5482
811.3	0.7041	-0.5506
812.4	0.7048	-0.5518
813.6	0.7058	-0.5512
814.8	0.7059	-0.5512
815.9	0.7062	-0.5509
817.1	0.7084	-0.5516
818.3	0.7107	-0.5511
819.5	0.7125	-0.5530
820.6	0.7133	-0.5524
821.8	0.7122	-0.5534
823.0	0.7121	-0.5517
824.2	0.7112	-0.5526
825.3	0.7116	-0.5531
826.5	0.7114	-0.5551
827.7	0.7125	-0.5565
828.9	0.7120	-0.5580
830.0	0.7136	-0.5561
831.2	0.7129	-0.5583
832.4	0.7102	-0.5602
833.6	0.7100	-0.5608
834.7	0.7072	-0.5605
835.9	0.7053	-0.5596
837.1	0.7034	-0.5620
838.3	0.7011	-0.5637
839.4	0.7025	-0.5656
840.6	0.7011	-0.5659
841.8	0.7029	-0.5668
843.0	0.7033	-0.5652
844.1	0.7073	-0.5658
845.3	0.7062	-0.5667
846.5	0.7039	-0.5673
847.7	0.7035	-0.5682
848.8	0.7029	-0.5688
850.0	0.7049	-0.5673
